subject,ratio50,L1_baseline,L1_rule_based,top1_baseline,top1_rule_based,max_true,max_base,max_rb
810,1.3970347383846222,3.119999999999999,7.579999999999999,1,1,37.16,38.72,37.7
811,1.06750169679768,39.62,34.96,0,0,47.97,37.11,34.78
812,1.6546522844865386,2.36,1.5000000000000002,1,1,43.4,42.4,44.15
900,1.1888747884940776,40.620000000000005,42.36,0,0,51.06,35.3,36.76
901,2.5027154870357395,90.98000000000002,38.5,0,0,48.92,47.49,59.13
902,1.5668117418279468,13.52,6.819999999999999,0,0,37.99,40.73,36.55
903,1.2616475354490209,130.74,113.41999999999999,0,1,99.17,35.42,42.53
904,1.896962680468537,10.120000000000001,51.38,1,0,45.6,43.8,51.39
905,1.2330827067669174,68.78,43.12,0,1,59.73,43.72,38.49
906,1.0462196861626247,54.89999999999999,49.699999999999996,0,0,57.05,35.15,34.07
907,5.417817414652858,39.459999999999994,16.260000000000005,1,1,44.07,63.8,40.11
908,1.6892487889523533,41.68000000000001,4.200000000000003,0,1,44.54,43.74,44.4
909,5.127831871204087,3.5199999999999987,133.46000000000004,1,0,71.81,70.34,49.82
910,1.3922465208747516,15.500000000000007,11.239999999999993,1,1,38.8,39.96,33.33
911,1.5745461759746056,3.399999999999994,3.940000000000002,1,1,42.7,43.29,41.43
912,4.925032234297292,132.84,42.74,0,1,70.58,66.42,49.62
913,3.910649760199724,97.2,48.8,0,0,47.0,57.53,33.33
914,1.8336276240926033,13.919999999999998,0.859999999999999,1,1,45.42,41.45,45.61
915,3.8030873493975905,122.1,36.35999999999999,0,0,54.72,61.05,41.43
916,4.65448122264035,101.28,104.24,0,0,67.71,51.25,52.73
917,7.074559150830337,82.82,11.559999999999992,0,1,46.73,60.42,41.24
918,2.0446942692624073,11.880000000000006,7.160000000000001,1,1,45.41,51.35,48.55
919,1.3558499855198378,14.900000000000007,9.920000000000002,1,1,39.89,47.34,39.7
920,5.976047904191617,20.040000000000003,21.559999999999995,1,1,59.88,69.9,70.66
921,7.258925564163017,75.2,5.840000000000002,1,1,41.38,78.98,38.79
922,5.553465783664459,76.59999999999998,67.94,0,0,39.98,71.63,67.3
923,2.6821673240606185,50.080000000000005,17.080000000000005,0,0,43.06,54.5,35.67
