subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
706,1,5.914465512958516,41.43,0.0,0.0,0.0,41.43,0,52.83,11.399999999999999,0,1
707,1,2.5589820359281434,74.45,51.97,59.62,7.649999999999999,14.830000000000005,0,20.41,54.040000000000006,0,1
708,1,2.662066586165258,29.7,26.08,26.08,0.0,3.620000000000001,0,36.37,6.669999999999998,0,1
800,1,1.2586425339366516,27.03,35.61,40.76,5.149999999999999,8.579999999999998,0,32.52,5.490000000000002,0,1
801,1,4.84537895746722,24.39,27.66,27.66,0.0,3.2699999999999996,0,13.76,10.63,0,1
802,1,4.788947553678282,12.78,54.1,62.08,7.979999999999997,41.32,0,13.55,0.7700000000000014,0,1
803,1,6.297611940298508,62.66,0.0,7.27,7.27,55.39,0,70.94,8.280000000000001,0,1
804,1,1.8660940854967791,35.75,9.21,13.58,4.369999999999999,22.17,0,34.73,1.0200000000000031,0,1
805,1,2.071336824424464,28.31,7.79,12.26,4.47,16.049999999999997,0,38.83,10.52,0,1
806,1,1.7329893360853112,47.38,40.61,40.61,0.0,6.770000000000003,0,23.32,24.060000000000002,0,1
807,1,2.520210565895845,18.94,64.1,64.1,0.0,45.16,0,20.02,1.0799999999999983,0,1
808,1,1.6544074147111023,31.04,0.0,29.34,29.34,1.6999999999999993,0,38.92,7.880000000000003,0,1
809,1,1.19641989308278,37.8,8.93,37.43,28.5,0.36999999999999744,0,27.84,9.959999999999997,1,1
810,1,1.3970347383846222,37.16,30.93,40.07,9.14,0.0,1,37.4,0.240000000000002,1,0
811,1,1.06750169679768,17.3,28.82,28.82,0.0,11.52,0,37.74,20.44,0,1
812,1,1.6546522844865386,43.4,31.08,39.03,7.950000000000003,4.369999999999997,0,40.58,2.8200000000000003,0,1
900,1,1.1888747884940776,25.46,30.27,30.27,0.0,4.809999999999999,0,32.14,6.68,0,1
901,1,2.5027154870357395,48.74,30.82,64.03,33.21,0.0,1,22.32,26.42,0,0
902,1,1.5668117418279468,34.01,15.42,24.13,8.709999999999999,9.879999999999999,0,40.38,6.3700000000000045,0,1
903,1,1.2616475354490209,0.49,20.01,52.98,32.97,19.520000000000003,0,27.86,27.37,1,1
904,1,1.896962680468537,25.7,83.53,83.53,0.0,57.83,0,25.55,0.14999999999999858,0,1
905,1,1.2330827067669174,59.73,13.48,13.48,0.0,46.25,0,22.01,37.72,0,1
906,1,1.0462196861626247,21.87,61.51,74.63,13.119999999999997,39.64,0,33.23,11.359999999999996,0,1
907,1,5.417817414652858,44.07,0.0,1.25,1.25,42.82,0,62.7,18.630000000000003,0,1
908,1,1.6892487889523533,22.9,0.0,10.68,10.68,12.219999999999999,0,47.1,24.200000000000003,0,1
909,1,5.127831871204087,71.81,0.0,0.98,0.98,70.83,0,72.76,0.9500000000000028,0,1
910,1,1.3922465208747516,28.34,25.88,32.3,6.419999999999998,0.0,1,35.3,6.959999999999997,0,0
911,1,1.5745461759746056,30.22,0.0,30.96,30.96,0.0,1,31.37,1.1500000000000021,0,0
912,1,4.925032234297292,70.58,36.32,46.05,9.729999999999997,24.53,0,11.8,58.78,0,1
913,1,3.910649760199724,47.0,15.95,35.64,19.69,11.36,0,30.97,16.03,1,1
914,1,1.8336276240926033,25.18,26.29,31.92,5.630000000000003,1.1099999999999994,0,26.4,1.2199999999999989,1,1
915,1,3.8030873493975905,44.62,14.15,42.78,28.630000000000003,1.8399999999999963,0,15.75,28.869999999999997,1,1
916,1,4.65448122264035,0.61,38.34,38.34,0.0,37.730000000000004,0,50.23,49.62,0,1
917,1,7.074559150830337,33.89,16.1,19.95,3.849999999999998,13.940000000000001,0,27.83,6.060000000000002,0,1
918,1,2.0446942692624073,29.06,46.89,46.89,0.0,17.830000000000002,0,25.58,3.4800000000000004,0,1
919,1,1.3558499855198378,39.89,15.05,27.61,12.559999999999999,12.280000000000001,0,46.25,6.359999999999999,0,1
920,1,5.976047904191617,17.84,52.07,96.24,44.169999999999995,34.230000000000004,0,12.17,5.67,0,1
921,1,7.258925564163017,28.27,93.87,97.17,3.299999999999997,65.60000000000001,0,9.38,18.89,0,1
922,1,5.553465783664459,26.23,7.91,13.38,5.470000000000001,12.85,0,16.45,9.780000000000001,0,1
923,1,2.6821673240606185,27.13,8.38,17.22,8.839999999999998,9.91,0,30.68,3.5500000000000007,0,1
